7367
2361	!	120
1805	!!	64
15764	!!!	2
13172	!!!!	1
24693	!!!!」	1
16010	!!!!（	1
553	!!!」	2
554	!!!〜』	2
27985	!!"	1
27986	!!"」	1
16771	!!-	1
27123	!!”	1
27987	!!″」【	1
18939	!!「	1
2263	!!」	29
21235	!!」(	1
15418	!!」「	4
25045	!!』	1
11921	!!【	3
555	!!〜	1
4251	!!〜」	1
16110	!!（	2
23831	!!／	1
16265	!"	1
14799	!(	3
21914	!)」	1
6890	!/	4
981	!?	145
18207	!?(	1
12740	!?—	3
26967	!?“	1
24873	!?″	1
19704	!?「	3
3785	!?」	14
17855	!?」「	1
26275	!?』	1
12263	!?【	4
15228	!?（	1
20017	!?／	2
19585	!“	1
16488	!”	1
22679	!”“	1
27702	!…	1
27848	!、	2
22041	!「	1
5660	!」	60
26699	!」、「	1
17459	!」「	2
28163	!」【	2
4070	!」（	9
2362	!』	7
25617	!』（	1
20100	!【	1
6891	!）	4
27058	!）”	1
22823	!］	15
2634	"	147
3009	"!（	1
16699	""	1
11914	"、	1
22643	"「	1
18198	"（	1
8147	#	10
12276	$	2
572	%	37
19796	%)	1
12204	%、	5
14809	%、「	2
15529	%！	1
10248	%）	6
26223	%）、	1
13582	%）、「	1
20001	%）「	1
3763	%：	1
138	&	108
2264	'	55
7731	'(*	1
12489	'.	4
2265	'」	4
28	(	734
9487	(#^.^#)	2
14520	(((	1
10626	(*^	2
27684	(*^_^*)	1
8485	(*^_^*)」	1
7704	(*^▽^*)	1
11115	(*^▽^*)！！	1
7415	(*´∀｀)	2
7416	(*´∀｀*)	2
9324	(*´∀｀*)☆	1
15001	(+	1
24836	(-	1
8391	(/=	1
10475	(;	1
17533	(<●><●>)	1
17886	(@	2
13798	(^	4
9130	(^-^)	1
15980	(^-^)/	1
15981	(^.^)	1
25515	(^^)	1
9962	(^^)/」	1
7852	(^^)」	3
7417	(^_-)-☆	2
11228	(^_^;)	2
8909	(_	1
25215	(__)	1
15519	(`	1
7705	(´	2
14521	(´∵`)	1
10476	(´▽｀)	1
17780	(※	3
21076	(※)	1
17812	(‾	1
17842	(≧▽≦)	1
9963	(●	1
10584	(、	1
2472	(「	2
8392	(」=	1
27412	(〜@	4
10719	(＞	1
25449	(？)	1
8897	(｀	2
29	)	507
10477	)!	1
20479	)"	2
27239	)(	11
14522	))』	1
28166	)*	1
27463	),	6
8955	)-	3
21788	)-／	1
8370	)/	4
12528	):	2
10034	)]	3
20925	)“	2
5449	)”	1
16111	)━━━━	1
17522	)┘♪└(∵)┐♪♪	1
429	)、	27
26183	)、「	12
4952	)、『	1
11795	)「	6
3492	)」	70
27357	)」(	3
28041	)」→「	1
17769	)」、	2
17770	)」、「	1
16758	)」「	3
27286	)」【	5
27664	)」（	4
20777	)『	2
6054	)』	3
6783	)』-	1
7874	)【	10
20926	)〜	4
8809	)）	1
4232	)＋(	1
8229	)／	3
15946	)：	4
19244	)｜“	1
2363	*	25
7732	*)'	1
7733	*:.	1
22164	*「	1
7734	*」	2
7840	+	49
15645	+)	2
27520	+、	3
8451	+」	18
12009	+」、	2
27874	+」、「	2
27174	+」（	1
19196	+』	2
28150	+（	1
18879	+）	1
11141	+［	1
573	,	381
17016	,-	1
59	-	1681
13222	--	3
27297	---	3
9461	-------------------------	6
21877	--“	1
24837	-;“」	1
9289	-「	2
11116	-」	5
26499	-」、	1
27268	-」【	3
2881	-』	13
21795	-』(	1
1379	-』『	1
21796	-』（	1
1411	-】	1
20676	-〜	1
27260	-［	2
618	.	996
21915	.!(	1
21916	.!」	1
5614	.&	1
20345	.(	1
20988	.)	4
27530	.,	1
7735	..	1
10882	...	17
24452	....	1
3144	.....	1
12594	......	7
15780	......」	3
8910	...」	5
7736	.:*	1
